,Builder Name,Builder Rating,Phone Numbers,Address,Work They Do,WorkingHours,Year Established
84, Ratnadhar Infra Pvt Ltd,5.0,+(91)-866-6580666 +(91)-9052086446 ,"Flat No C5, Sai Sowmya Residency, Pinnamaneni Teachers Colony, Kanuru, Vijayawada - 520007, Beside Mana Kalyana Vedika", * Builders * Architects * Construction Companies * Civil Contractors * Builders & Developers * Land Surveyors * Building Contractors * Interior Decorators * Architects For Building * Interior Decorators for Residences * Building Plan * Civil Contractors For Residential * Commercial Architects * Residential Builders * Architect Interior * Civil Engineer Contractor * Architects For Landscape * Commercial Builders * Government Approved Civil Contractors * Interior Decorators For Modular Kitchen * Engineer Contractor * Architects For Residential Less,"{'Thursday': '08:00 am - 09:00 pm', 'Sunday': '08:00 am - 09:00 pm', 'Monday': '08:00 am - 09:00 pm', 'Saturday': '08:00 am - 09:00 pm', 'Friday': '08:00 am - 09:00 pm', 'Tuesday': '08:00 am - 09:00 pm', 'Wednesday': '08:00 am - 09:00 pm'}", 1995
85, Kanna Babu Rao,None,+(91)-866-2586219 ,"D No74-6-9 Plot N0181 1st Floor, Ayyappa Nagar, Vijayawada - 520007, Opp Balavignam Public School", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
86, Phani Kumar S,None,+(91)-9533577255 ,"Vidyadharapuram, Vijayawada - 520012, K K Nagar", * Architects * Architects For Building * Commercial Architects * Architects For Office * Architects For Apartment * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 08:00 pm', 'Sunday': '10:00 am - 08:00 pm', 'Monday': '10:00 am - 08:00 pm', 'Saturday': '10:00 am - 08:00 pm', 'Friday': '10:00 am - 08:00 pm', 'Tuesday': '10:00 am - 08:00 pm', 'Wednesday': '10:00 am - 08:00 pm'}", 2005
87, Shreevans Associates,5.0,+(91)-8121564774 ,"Saradhi Enclave, Eluru Road, Ring Road, Vijayawada - 520008, Near Model Village,Above Good Morning Cafe", * Architects * Architects For Building * Commercial Architects * Architects For Landscape * Architects For Residential Less,"{'Thursday': '10:00 am - 07:00 pm', 'Sunday': '10:00 am - 07:00 pm', 'Monday': '10:00 am - 07:00 pm', 'Saturday': '10:00 am - 07:00 pm', 'Friday': '10:00 am - 07:00 pm', 'Tuesday': '10:00 am - 07:00 pm', 'Wednesday': '10:00 am - 07:00 pm'}", 2015
88, Ramakrishna Associates,5.0,+(91)-9246497562 ,"Shop No 11- 25 -365 , Vijayawada - 520001, Samarangam Chowk", * Architects * Civil Engineers Less,{},
89, Bharathi Planners,5.0,+(91)-8143131343 ,"#10-58, Bundar Road, Ashok Nagar, Vijayawada - 520007, Beside Maszid,Opp Kalanikethan Godown", * Architects * Architects For Building * Architectures * Commercial Architects * Building Elevation Works * Architectural Model Makers * Architect Interior * Industrial Architects * Architects For Hotels * Architectural Drawing 3D * Architect Designer * Architects For Residential Less,"{'Thursday': '09:00 am - 08:00 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 08:00 pm', 'Saturday': '09:00 am - 08:00 pm', 'Friday': '09:00 am - 08:00 pm', 'Tuesday': '09:00 am - 08:00 pm', 'Wednesday': '09:00 am - 08:00 pm'}", 2015
90, Siva Ram Architect,None,,"House No 7-100, Ashok Nagar, Vijayawada - 520007, Mythri Nagar,Kunuru Penamaluru, Mandalam"," * Architects
 Less","{'Thursday': '10:00 am - 08:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 08:00 pm', 'Saturday': '10:00 am - 08:00 pm', 'Friday': '10:00 am - 08:00 pm', 'Tuesday': '10:00 am - 08:00 pm', 'Wednesday': '10:00 am - 08:00 pm'}",
91, Pardhu Kamineni,None,+(91)-866-6572505 +(91)-9885191699 ,"Door No9-133 Gaddam Rathiah Street Ashok Nagar, Ashok Nagar, Vijayawada - 520007", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
92, Vamsee Associates,None,,"D. No: 9-116, Vijayawada, Ashoknagar, M G Road, Ashok Nagar, Vijayawada - 520007, Near Coastal Bank", * Architects * ArchitectsEngineers Less,"{'Thursday': '10:00 am - 09:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 09:00 pm', 'Saturday': '10:00 am - 09:00 pm', 'Friday': '10:00 am - 09:00 pm', 'Tuesday': '10:00 am - 09:00 pm', 'Wednesday': '10:00 am - 09:00 pm'}",
93, Meduri Consultants,None,+(91)-9490120075 9573507135 ,"House No 1-9-286/2/4/5, Vidyanagar, Vijayawada - 520001", * Interior Designers * Architects * Architects For Building * Commercial Architects * Architects For Landscape * Architects For Hotels * Architects For Resorts * Architects For Bungalow * Architects For Hospital * Architects For Factory * Architects For Departmental Store * Architects For Bank * Architects For Spa * Architects For Residential Less,"{'Thursday': '12:00 am - 11:59 pm', 'Sunday': '12:00 am - 11:59 pm', 'Monday': '12:00 am - 11:59 pm', 'Saturday': '12:00 am - 11:59 pm', 'Friday': '12:00 am - 11:59 pm', 'Tuesday': '12:00 am - 11:59 pm', 'Wednesday': '12:00 am - 11:59 pm'}", 2009
94, Lakshmi Prasanna Pvt Ltd,None,+(91)-9985758030 8885758030 ,"Door No 40-16/1/23, Bunder Road-Vijayawada HO, Vijayawada - 520001, Near Hotel Kandhari", * Architects * Architects For Building * Commercial Architects * Architects For Landscape * Architects For Residential Less,"{'Thursday': '10:00 am - 06:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:00 pm', 'Saturday': '10:00 am - 06:00 pm', 'Friday': '10:00 am - 06:00 pm', 'Tuesday': '10:00 am - 06:00 pm', 'Wednesday': '10:00 am - 06:00 pm'}", 2012
95, Kiran Kumar Bonda,None,+(91)-9393844522 9963482610 ,"D No21-5-5 3rd Floor Sri Durga Enclave, Mutyalampadu Vijayawada, Vijayawada - 520001", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
96, Dominic Leonard Harper,None,+(91)-9246412082 ,"12-2-275 Bro Road, Vijayawada - 520001", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
97, Ummulkhair Shabana,None,+(91)-866-2852050 ,"Grid Colonyqtr Noc-5 Nunnavijayawada Rural Vijayawada, Vijayawada - 520001", * Architects * Commercial Architects * Architects For Bungalow * Architects For Residential Less,{},
98, Yogesh Parekh,None,+(91)-866-2483820 +(91)-7702888177 ,"Plot No 60-4-5, Flat No 2, 1st Floor, Madhumati Appartment, Vijayawada - 520001, Technical Nagar", * Architects * Architects For Building * Commercial Architects * Architects For Hotels * Architects For Office * Architects For Bungalow * Architects For Showroom * Architects For Stadium * Architects For Residential Less,"{'Thursday': '05:30 pm - 08:00 pm', 'Sunday': 'Closed', 'Monday': '05:30 pm - 08:00 pm', 'Saturday': '05:30 pm - 08:00 pm', 'Friday': '05:30 pm - 08:00 pm', 'Tuesday': '05:30 pm - 08:00 pm', 'Wednesday': '05:30 pm - 08:00 pm'}", 2012
99, Ghanta Vivekananda Swamy,None,+(91)-866-2451669 +(91)-9849083919 ,"Adarsh Apartments, Vijayawada - 520001, Opposite Road Stella College, Near 5 Bus Route", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}", 1972
